id,userId,ruleId,isPush,lastPushTime,updateTime
1,1,1,1,"2019-05-15 08:36:03","2019-01-11 09:00:18"
2,1,2,1,"2019-05-15 08:36:04","2019-01-12 13:48:15"
6,3,2,1,"2019-05-15 08:36:03","2019-01-15 20:21:19"
