id,webName,webUrl,webModel,rulePattern,ruleModel,titlePosition,timePosition,hrefPosition,isEffect,updateTime
1,佛山市人民政府,http://www.foshan.gov.cn/zwgk/zwdt/jryw/,'',"<li [\s\S]*?([0-9]{4}-[0-9]{2}-[0-9]{2})[\s\S]*?href="([\s\S]*?)"[\s\S]*?title="([\s\S]*?)" >",regular,2,0,1,1,"2019-01-11 08:57:14"
2,纽约时报中文网-手机版,https://m.cn.nytimes.com/,'',"<li class="regular-item"><a href="([\s\S]*?)" title="([\s\S]*?)">[\s\S]*?</li>",regular,1,-1,0,1,"2019-01-12 13:48:00"
